provinsi,nik,nama,jenis_kelamin,gol_darah,alamat,kel_desa,kecamatan,agama,status_pernikahan,pekerjaan,kewarganegaraan,tempat_lahir,tanggal_lahir,penghasilan
Aceh,1101234567890123,Ani Pranoto,Perempuan,O,Jl.Merdeka No.1,Merdeka,Kuta Alam,Islam,Menikah,Petani,WNI,Banda Aceh,1980-01-01,1100000
Aceh,1102234567890124,Budi Wijaya,Laki-laki,A,Jl.Sisingamangaraja No.2,Kampung Baru,Banda Aceh,Kristen,Belum Menikah,Pegawai Negeri,WNI,Banda Aceh,1981-02-02,3100000
Aceh,1103234567890125,Citra Handayani,Perempuan,B,Jl.Diponegoro No.3,Padang Pasir,Kuta Alam,Hindu,Menikah,Wiraswasta,WNI,Banda Aceh,1982-03-03,9000000
Aceh,1104234567890126,Darma Setiawan,Laki-laki,AB,Jl.Gatot Subroto No.4,Merdeka,Kuta Alam,Buddha,Menikah,Pelajar,WNI,Banda Aceh,1983-04-04,100000
Aceh,1105234567890127,Edi Santoso,Laki-laki,O,Jl.Sudirman No.5,Kampung Baru,Banda Aceh,Islam,Belum Menikah,Petani,WNI,Banda Aceh,1984-05-05,1500000
Aceh,1106234567890128,Fitriani Wijaya,Perempuan,A,Jl.Teuku Umar No.6,Merdeka,Kuta Alam,Kristen,Menikah,Pegawai Negeri,WNI,Banda Aceh,1985-06-06,3800000
Aceh,1107234567890129,Gandi Santoso,Laki-laki,B,Jl.Kartini No.7,Kampung Baru,Banda Aceh,Hindu,Belum Menikah,Wiraswasta,WNI,Banda Aceh,1986-07-07,4600000
Aceh,1108234567890130,Hadi Setiawan,Laki-laki,AB,Jl.Pattimura No.8,Padang Pasir,Kuta Alam,Buddha,Menikah,Pelajar,WNI,Banda Aceh,1987-08-08,500000
Aceh,1109234567890131,Indah Wijaya,Perempuan,O,Jl.Imam Bonjol No.9,Merdeka,Kuta Alam,Islam,Menikah,Pegawai Swasta,WNI,Banda Aceh,1988-09-09,9400000
Aceh,1110234567890132,Joko Santoso,Laki-laki,A,Jl.Ahmad Yani No.10,Kampung Baru,Banda Aceh,Kristen,Belum Menikah,Wiraswasta,WNI,Banda Aceh,1989-10-10,4200000
Bali,5101234567890283,Darma Setiawan,Laki-laki,B,Jl.Sudirman No.1,Denpasar Selatan,Denpasar Kota,Islam,Menikah,Petani,WNI,Denpasar,1980-01-01,2100000
Bali,5102234567890284,Edi Santoso,Laki-laki,AB,Jl.Teuku Umar No.2,Denpasar Utara,Denpasar Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Denpasar,1981-02-02,3200000
Bali,5103234567890285,Fitriani Wijaya,Perempuan,O,Jl.Merdeka No.3,Denpasar Timur,Denpasar Kota,Hindu,Menikah,Wiraswasta,WNI,Denpasar,1982-03-03,2700000
Bali,5104234567890286,Gandi Santoso,Laki-laki,A,Jl.Gatot Subroto No.4,Denpasar Barat,Denpasar Kota,Buddha,Menikah,Pelajar,WNI,Denpasar,1983-04-04,0
Bali,5105234567890287,Hadi Setiawan,Laki-laki,O,Jl.Diponegoro No.5,Denpasar Selatan,Denpasar Kota,Islam,Belum Menikah,Petani,WNI,Denpasar,1984-05-05,1400000
Bali,5106234567890288,Indah Wijaya,Perempuan,B,Jl.Teuku Umar No.6,Denpasar Utara,Denpasar Kota,Kristen,Menikah,Pegawai Negeri,WNI,Denpasar,1985-06-06,4400000
Bali,5107234567890289,Joko Santoso,Laki-laki,AB,Jl.Merdeka No.7,Denpasar Timur,Denpasar Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Denpasar,1986-07-07,14900000
Bali,5108234567890290,Kartika Handayani,Perempuan,O,Jl.Gatot Subroto No.8,Denpasar Barat,Denpasar Kota,Buddha,Menikah,Pelajar,WNI,Denpasar,1987-08-08,400000
Bali,5109234567890291,Larasati Wijaya,Perempuan,A,Jl.Diponegoro No.9,Denpasar Selatan,Denpasar Kota,Islam,Menikah,Wiraswasta,WNI,Denpasar,1988-09-09,2600000
Bali,5110234567890292,Mega Santoso,Perempuan,B,Jl.Teuku Umar No.10,Denpasar Timur,Denpasar Kota,Hindu,Belum Menikah,Pegawai Negeri,WNI,Denpasar,1989-10-10,6500000
Bangka Belitung,1901234567890213,Nadia Wijaya,Perempuan,A,Jl.Merdeka No.1,Girimaya,Girimaya,Islam,Menikah,Petani,WNI,Pangkalpinang,1980-01-01,1400000
Bangka Belitung,1902234567890214,Oscar Santoso,Laki-laki,B,Jl.Sisingamangaraja No.2,Bukit Intan,Girimaya,Kristen,Belum Menikah,Pegawai Negeri,WNI,Pangkalpinang,1981-02-02,7500000
Bangka Belitung,1903234567890215,Putri Handayani,Perempuan,AB,Jl.Diponegoro No.3,Kelurahan Rawa,Bukit Intan,Hindu,Menikah,Wiraswasta,WNI,Pangkalpinang,1982-03-03,12700000
Bangka Belitung,1904234567890216,Qori Setiawan,Laki-laki,O,Jl.Gatot Subroto No.4,Kelurahan Pasir,Kota Pangkalpinang,Buddha,Menikah,Pelajar,WNI,Pangkalpinang,1983-04-04,100000
Bangka Belitung,1905234567890217,Rina Wulandari,Perempuan,A,Jl.Teuku Umar No.6,Kelurahan Rawa,Kota Pangkalpinang,Kristen,Menikah,Pegawai Negeri,WNI,Pangkalpinang,1984-05-05,5800000
Bangka Belitung,1906234567890218,Sandi Pranoto,Laki-laki,B,Jl.Sudirman No.5,Kelurahan Bukit,Kota Pangkalpinang,Islam,Belum Menikah,Petani,WNI,Pangkalpinang,1985-06-06,1600000
Bangka Belitung,1907234567890219,Tita Santoso,Perempuan,AB,Jl.Teuku Umar No.6,Kelurahan Rawa,Kota Pangkalpinang,Kristen,Menikah,Pegawai Negeri,WNI,Pangkalpinang,1986-07-07,3000000
Bangka Belitung,1908234567890220,Umi Handayani,Perempuan,O,Jl.Kartini No.7,Kelurahan Pasir,Kota Pangkalpinang,Hindu,Belum Menikah,Wiraswasta,WNI,Pangkalpinang,1987-08-08,6000000
Bangka Belitung,1909234567890221,Vivi Setiawan,Perempuan,A,Jl.Pattimura No.8,Kelurahan Rawa,Kota Pangkalpinang,Buddha,Menikah,Pelajar,WNI,Pangkalpinang,1988-09-09,500000
Bangka Belitung,1910234567890222,Wahyu Pranoto,Laki-laki,B,Jl.Ahmad Yani No.9,Kelurahan Pasir,Kota Pangkalpinang,Kristen,Belum Menikah,Pegawai Swasta,WNI,Pangkalpinang,1989-10-10,7900000
Banten,3601234567890233,Hadi Setiawan,Laki-laki,B,Jl.Sisingamangaraja No.1,Labuan,Serang,Islam,Menikah,Petani,WNI,Serang,1980-01-01,1800000
Banten,3602234567890234,Indah Wijaya,Perempuan,AB,Jl.Diponegoro No.2,Pandeglang,Serang,Kristen,Belum Menikah,Pegawai Negeri,WNI,Serang,1981-02-02,4700000
Banten,3603234567890235,Joko Santoso,Laki-laki,O,Jl.Gatot Subroto No.3,Serang Timur,Serang,Hindu,Menikah,Wiraswasta,WNI,Serang,1982-03-03,5900000
Banten,3604234567890236,Kartika Handayani,Perempuan,A,Jl.Sudirman No.4,Baros,Serang,Buddha,Menikah,Pelajar,WNI,Serang,1983-04-04,100000
Banten,3605234567890237,Larasati Wijaya,Perempuan,B,Jl.Teuku Umar No.5,Cilegon Timur,Serang,Islam,Belum Menikah,Petani,WNI,Serang,1984-05-05,1800000
Banten,3606234567890238,Mega Santoso,Perempuan,AB,Jl.Kartini No.6,Cilegon Barat,Serang,Kristen,Menikah,Pegawai Negeri,WNI,Serang,1985-06-06,3600000
Banten,3607234567890239,Nadia Wijaya,Perempuan,O,Jl.Pattimura No.7,Cilegon Selatan,Serang,Hindu,Belum Menikah,Wiraswasta,WNI,Serang,1986-07-07,4300000
Banten,3608234567890240,Oscar Santoso,Laki-laki,A,Jl.Ahmad Yani No.8,Cilegon Utara,Serang,Buddha,Menikah,Pelajar,WNI,Serang,1987-08-08,300000
Banten,3609234567890241,Putri Handayani,Perempuan,B,Jl.Gatot Subroto No.9,Pandeglang,Serang,Islam,Menikah,Petani,WNI,Serang,1988-09-09,1100000
Banten,3610234567890242,Qori Setiawan,Laki-laki,AB,Jl.Diponegoro No.10,Labuan,Serang,Kristen,Belum Menikah,Wiraswasta,WNI,Serang,1989-10-10,11100000
Bengkulu,1701234567890193,Umi Handayani,Perempuan,O,Jl.Merdeka No.1,Tanjung Karang,Seluma,Islam,Menikah,Petani,WNI,Bengkulu,1980-01-01,1900000
Bengkulu,1702234567890194,Vivi Setiawan,Perempuan,A,Jl.Sisingamangaraja No.2,Manna,Seluma,Kristen,Belum Men,,,Bengkulu,1981-02-02,
Bengkulu,1703234567890195,Wahyu Pranoto,Laki-laki,B,Jl.Diponegoro No.3,Bengkulu Tengah,Seluma,Kristen,Belum Menikah,Pegawai Negeri,WNI,Bengkulu,1982-03-03,6800000
Bengkulu,1704234567890196,Xaverius Wijaya,Laki-laki,AB,Jl.Gatot Subroto No.4,Manna,Bengkulu Tengah,Hindu,Menikah,Wiraswasta,WNI,Bengkulu,1983-04-04,8700000
Bengkulu,1705234567890197,Yanti Setiawati,Perempuan,O,Jl.Sudirman No.5,Curup Selatan,Bengkulu Tengah,Buddha,Menikah,Pelajar,WNI,Bengkulu,1984-05-05,0
Bengkulu,1706234567890198,Zainal Arifin,Laki-laki,A,Jl.Teuku Umar No.6,Kepahiang,Bengkulu Tengah,Islam,Belum Menikah,Petani,WNI,Bengkulu,1985-06-06,2200000
Bengkulu,1707234567890199,Ahmad Santoso,Laki-laki,B,Jl.Kartini No.7,Bengkulu Tengah,Bengkulu Tengah,Kristen,Menikah,Pegawai Negeri,WNI,Bengkulu,1986-07-07,6400000
Bengkulu,1708234567890200,Ani Pranoto,Perempuan,AB,Jl.Pattimura No.8,Manna,Bengkulu Tengah,Hindu,Belum Menikah,Wiraswasta,WNI,Bengkulu,1987-08-08,5100000
Bengkulu,1709234567890201,Budi Wijaya,Laki-laki,O,Jl.Imam Bonjol No.9,Lebong,Bengkulu Tengah,Buddha,Menikah,Pelajar,WNI,Bengkulu,1988-09-09,300000
Bengkulu,1710234567890202,Citra Handayani,Perempuan,A,Jl.Ahmad Yani No.10,Kaur,Bengkulu Tengah,Islam,Belum Menikah,Pegawai Swasta,WNI,Bengkulu,1989-10-10,3500000
DI Yogyakarta,3401234567890263,Kartika Handayani,Perempuan,O,Jl.Diponegoro No.1,Gondokusuman,Yogyakarta Kota,Islam,Menikah,Petani,WNI,Yogyakarta,1980-01-01,2500000
DI Yogyakarta,3402234567890264,Larasati Wijaya,Perempuan,A,Jl.Gatot Subroto No.2,Mergangsan,Yogyakarta Kota,Kristen,Belum Menikah,Pegawai Negeri,WNI,Yogyakarta,1981-02-02,4800000
DI Yogyakarta,3403234567890265,Mega Santoso,Perempuan,B,Jl.Sudirman No.3,Kotagede,Yogyakarta Kota,Hindu,Menikah,Wiraswasta,WNI,Yogyakarta,1982-03-03,11200000
DI Yogyakarta,3404234567890266,Nadia Wijaya,Perempuan,AB,Jl.Teuku Umar No.4,Gondokusuman,Yogyakarta Kota,Buddha,Menikah,Pelajar,WNI,Yogyakarta,1983-04-04,400000
DI Yogyakarta,3405234567890267,Oscar Santoso,Laki-laki,O,Jl.Merdeka No.5,Mergangsan,Yogyakarta Kota,Islam,Belum Menikah,Petani,WNI,Yogyakarta,1984-05-05,1400000
DI Yogyakarta,3406234567890268,Putri Handayani,Perempuan,A,Jl.Gatot Subroto No.6,Kotagede,Yogyakarta Kota,Kristen,Menikah,Pegawai Negeri,WNI,Yogyakarta,1985-06-06,7500000
DI Yogyakarta,3407234567890269,Qori Setiawan,Laki-laki,B,Jl.Sudirman No.7,Gondokusuman,Yogyakarta Kota,Hindu,Belum Menikah,Wiraswasta,WNI,Yogyakarta,1986-07-07,3700000
DI Yogyakarta,3408234567890270,Rina Wulandari,Perempuan,AB,Jl.Teuku Umar No.8,Mergangsan,Yogyakarta Kota,Buddha,Menikah,Pelajar,WNI,Yogyakarta,1987-08-08,0
DI Yogyakarta,3409234567890271,Sandi Pranoto,Laki-laki,B,Jl.Merdeka No.9,Gondokusuman,Yogyakarta Kota,Islam,Belum Menikah,Petani,WNI,Yogyakarta,1988-09-09,1500000
DI Yogyakarta,3410234567890272,Tita Santoso,Perempuan,O,Jl.Gatot Subroto No.10,Kotagede,Yogyakarta Kota,Kristen,Menikah,Pegawai Negeri,WNI,Yogyakarta,1989-10-10,7900000
DKI Jakarta,3101234567890223,Yanti Setiawati,Perempuan,AB,Jl.Merdeka No.1,Tanjung Priok,Tanjung Priok,Islam,Menikah,Petani,WNI,Jakarta,1980-01-01,1700000
DKI Jakarta,3102234567890224,Zainal Arifin,Laki-laki,O,Jl.Sisingamangaraja No.2,Koja,Tanjung Priok,Kristen,Belum Menikah,Pegawai Negeri,WNI,Jakarta,1981-02-02,3500000
DKI Jakarta,3103234567890225,Ahmad Santoso,Laki-laki,AB,Jl.Diponegoro No.3,Koja,Tanjung Priok,Hindu,Menikah,Wiraswasta,WNI,Jakarta,1982-03-03,7900000
DKI Jakarta,3104234567890226,Ani Pranoto,Perempuan,O,Jl.Gatot Subroto No.4,Koja,Tanjung Priok,Buddha,Menikah,Pelajar,WNI,Jakarta,1983-04-04,0
DKI Jakarta,3105234567890227,Budi Wijaya,Laki-laki,A,Jl.Sudirman No.5,Koja,Tanjung Priok,Islam,Belum Menikah,Petani,WNI,Jakarta,1984-05-05,2000000
DKI Jakarta,3106234567890228,Citra Handayani,Perempuan,B,Jl.Teuku Umar No.6,Koja,Tanjung Priok,Kristen,Menikah,Pegawai Negeri,WNI,Jakarta,1985-06-06,4700000
DKI Jakarta,3107234567890229,Darma Setiawan,Laki-laki,AB,Jl.Kartini No.7,Koja,Tanjung Priok,Hindu,Belum Menikah,Wiraswasta,WNI,Jakarta,1986-07-07,13600000
DKI Jakarta,3108234567890230,Edi Santoso,Laki-laki,O,Jl.Pattimura No.8,Koja,Tanjung Priok,Buddha,Menikah,Pelajar,WNI,Jakarta,1987-08-08,500000
DKI Jakarta,3109234567890231,Fitriani Wijaya,Perempuan,A,Jl.Ahmad Yani No.9,Koja,Tanjung Priok,Islam,Belum Menikah,Pegawai Swasta,WNI,Jakarta,1988-09-09,7100000
DKI Jakarta,3110234567890232,Gandi Santoso,Laki-laki,B,Jl.Merdeka No.10,Koja,Tanjung Priok,Kristen,Menikah,Dokter,WNI,Jakarta,1989-10-10,12100000
Gorontalo,7501234567890403,Putri Handayani,Perempuan,B,Jl.Sudirman No.1,Gorontalo Kota,Gorontalo Kota,Buddha,Menikah,Petani,WNI,Gorontalo,1980-01-01,1900000
Gorontalo,7502234567890404,Qori Setiawan,Laki-laki,AB,Jl.Teuku Umar No.2,Gorontalo Kota,Gorontalo Kota,Islam,Belum Menikah,Pegawai Negeri,WNI,Gorontalo,1981-02-02,5200000
Gorontalo,7503234567890405,Rina Wulandari,Perempuan,O,Jl.Merdeka No.3,Gorontalo Kota,Gorontalo Kota,Hindu,Menikah,Wiraswasta,WNI,Gorontalo,1982-03-03,7300000
